prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
MINOXIDIL,"['Loniten' 'Lonolox' ""Men's rogaine"" 'Minodyl' 'Minoxidil'
 'Minoxidil (for men)' 'Minoxidil (for women)'
 'Minoxidil extra strength (for men)' 'Regaine for men'
 'Regaine for women' 'Riup' 'Rogaine' 'Rogaine (for men)'
 'Rogaine (for women)' 'Rogaine extra strength (for men)' 'Theroxidil'
 ""Women's rogaine""]",Small molecule,"androgenetic alopecia, hypertension, hypotrichosis","Sulfonylurea receptor 2, Kir6.2",ABCC9,Transporter,"Sulfonylurea receptor 2, Kir6.2 opener"
MIPOMERSEN,[],Oligonucleotide,cardiovascular disease,Apo-B 100 mRNA,APOB,Secreted protein,Apo-B 100 mRNA antisense inhibitor
MIPOMERSEN SODIUM,['Kynamro'],Oligonucleotide,familial hypercholesterolemia,Apo-B 100 mRNA,APOB,Secreted protein,Apo-B 100 mRNA antisense inhibitor
MIRABEGRON,['Betmiga' 'Myrbetriq' 'Myrbetriq granules'],Small molecule,"Polyuria, Urinary incontinence, overactive bladder, urgency urinary incontinence",Beta-3 adrenergic receptor,ADRB3,Membrane receptor,Beta-3 adrenergic receptor agonist
MIRIKIZUMAB,['Omvoh'],Antibody,ulcerative colitis,Interleukin-23,IL23A,Secreted protein,Interleukin-23 inhibitor
MIRTAZAPINE,['Mirtazapine' 'Remeron' 'Remeron soltab' 'Zispin'],Small molecule,"depressive disorder, insomnia, major depressive disorder","5-hydroxytryptamine receptor 2A, 5-hydroxytryptamine receptor 2C, Adrenergic receptor alpha-2","ADRA2A, ADRA2B, ADRA2C, HTR2A, HTR2C",Membrane receptor,"Adrenergic receptor alpha-2 antagonist, Serotonin 2a (5-HT2a) receptor antagonist, Serotonin 2c (5-HT2c) receptor antagonist"
MIRVETUXIMAB SORAVTANSINE,['Elahere'],Antibody drug conjugate,"fallopian tube neoplasm, malignant epithelial tumor of ovary, peritoneal neoplasm","Folate receptor alpha, Tubulin","FOLR1, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","Membrane receptor, Structural protein, Unclassified protein","Folate receptor alpha binding agent, Tubulin inhibitor"
MISOPROSTOL,"['Cytotec' 'Misoprostol' 'Misoprostol component of arthrotec' 'Mysodelle'
 'Topogyne']",Small molecule,"Peptic ulcer, duodenal ulcer, gastroesophageal reflux disease, hemorrhage, osteoarthritis, peptic ulcer disease",Prostaglandin E2 receptor EP3 subtype,PTGER3,Membrane receptor,Prostanoid EP3 receptor agonist
MITAPIVAT SULFATE,['Pyrukynd'],Small molecule,"anemia, familial hemolytic anemia, genetic disorder",Pyruvate kinase PKLR,PKLR,Enzyme,Pyruvate kinase isozymes R/L activator
MITOTANE,['Lysodren' 'Opddd'],Small molecule,"adrenal cortex neoplasm, neoplasm","Cholesterol side-chain cleavage enzyme, mitochondrial, Cytochrome P450 11B1, mitochondrial","CYP11A1, CYP11B1",Enzyme,"Cytochrome P450 11A1 inhibitor, Cytochrome P450 11B1 inhibitor"
MITOXANTRONE,[],Small molecule,neoplasm,DNA topoisomerase 2-alpha,TOP2A,Enzyme,DNA topoisomerase II alpha inhibitor
MITOXANTRONE HYDROCHLORIDE,['Mitoxantrone hydrochloride' 'Novantrone'],Small molecule,"multiple sclerosis, prostate cancer",DNA topoisomerase 2-alpha,TOP2A,Enzyme,DNA topoisomerase II alpha inhibitor
MIZOLASTINE,['Mizollen'],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
MOBOCERTINIB,[],Small molecule,neoplasm,Epidermal growth factor receptor,EGFR,"Enzyme, Unclassified protein",Epidermal growth factor receptor erbB1 inhibitor
MOBOCERTINIB SUCCINATE,['Exkivity'],Small molecule,non-small cell lung carcinoma,Epidermal growth factor receptor,EGFR,"Enzyme, Unclassified protein",Epidermal growth factor receptor erbB1 inhibitor
MODAFINIL,['Modafinil' 'Provigil'],Small molecule,"attention deficit hyperactivity disorder, narcolepsy-cataplexy syndrome, obstructive sleep apnea",Sodium-dependent dopamine transporter,SLC6A3,Transporter,Dopamine transporter inhibitor
MOEXIPRIL,[],Small molecule,cardiovascular disease,Angiotensin-converting enzyme,ACE,Enzyme,Angiotensin-converting enzyme inhibitor
MOEXIPRIL HYDROCHLORIDE,"['Moexipril hydrochloride' 'Moexipril hydrochloride component of uniretic'
 'Perdix' 'Univasc']",Small molecule,hypertension,Angiotensin-converting enzyme,ACE,Enzyme,Angiotensin-converting enzyme inhibitor
MOGAMULIZUMAB,['Poteligeo'],Antibody,"Sezary's disease, mycosis fungoides, neoplasm",C-C chemokine receptor type 4,CCR4,Membrane receptor,C-C chemokine receptor type 4 cross-linking agent
MOLINDONE,[],Small molecule,psychosis,"5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR2A",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
MOLINDONE HYDROCHLORIDE,['Moban' 'Molindone hydrochloride'],Small molecule,schizophrenia,"5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR2A",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
MOMETASONE FUROATE,"['Asmanex' 'Asmanex hfa' 'Asmanex twisthaler' 'Elocon'
 'Mometasone furoate' 'Mometasone furoate component of dulera'
 'Mometasone furoate component of lyr-220 active'
 'Mometasone furoate component of ryaltris' 'Nasonex'
 'Nasonex 24hr allergy' 'Sinuva']",Small molecule,"Airway obstruction, Nasal Cavity Polyp, Nasal congestion, Nasal polyposis, allergic rhinitis, asthma, seasonal allergic rhinitis, skin disease",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
MONOMETHYL FUMARATE,['Bafiertam'],Small molecule,multiple sclerosis,Kelch-like ECH-associated protein 1,KEAP1,"Other cytosolic protein, Transcription factor, Unclassified protein",Kelch-like ECH-associated protein 1 inhibitor
MONTELUKAST,['Singulair'],Small molecule,"Airway obstruction, allergic rhinitis, asthma, seasonal allergic rhinitis",Cysteinyl leukotriene receptor 1,CYSLTR1,Membrane receptor,Cysteinyl leukotriene receptor 1 antagonist
MONTELUKAST SODIUM,['Montelukast sodium' 'Singulair'],Small molecule,"Rhinitis, Allergic, Perennial, allergic rhinitis, asthma, seasonal allergic rhinitis",Cysteinyl leukotriene receptor 1,CYSLTR1,Membrane receptor,Cysteinyl leukotriene receptor 1 antagonist
MORICIZINE,[],Small molecule,cardiac arrhythmia,Sodium channel alpha subunit,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Ion channel, Unclassified protein",Sodium channel alpha subunit blocker
MOROCTOCOG ALFA,['Refacto af'],Protein,hemophilia A,Coagulation factor VIII,F8,"Enzyme, Secreted protein",Coagulation factor VIII exogenous protein
MORPHINE,[],Small molecule,Pain,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
MORPHINE SULFATE,"['Arymo er' 'Astramorph pf' 'Avinza' 'Depodur' 'Duramorph' 'Duramorph pf'
 'Duromorph' 'Filnarine sr' 'Infumorph' 'Kadian' 'Moraxen' 'Morcap sr'
 'Morphabond' 'Morphabond er' 'Morphgesic sr' 'Morphine sulfate'
 'Morphine sulfate (autoinjector)' 'Morphine sulfate component of embeda'
 'Ms contin' 'Msir' 'Mst continus' 'Oramorph' 'Oramorph sr' 'Oramorph udv'
 'Rhotard' 'Sevredol' 'Srm-rhotard' 'Zomorph']",Small molecule,"Chronic pain, Pain, cancer, drug dependence, overdose",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
MOSUNETUZUMAB,['Lunsumio'],Antibody,follicular lymphoma,"B-lymphocyte antigen CD20, T cell surface glycoprotein CD3","CD3D, CD3E, CD3G, MS4A1","Ion channel, Membrane receptor, Unclassified protein","B-lymphocyte antigen CD20 binding agent, T cell surface glycoprotein CD3 binding agent"
MOXETUMOMAB PASUDOTOX,['Lumoxiti'],Antibody drug conjugate,"hairy cell leukemia, neoplasm","B-cell receptor CD22, Elongation factor 2","CD22, EEF2","Adhesion, Other cytosolic protein","CD22 binding agent, Elongation factor 2 inhibitor"
MOXISYLYTE,['Erecnos' 'Moxivig'],Small molecule,"cardiovascular disease, erectile dysfunction",Adrenergic receptor alpha,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha antagonist
MOXONIDINE,['Cynt' 'Fisiotens' 'Normatens' 'Physiotens'],Small molecule,hypertension,Nischarin,NISCH,Other cytosolic protein,Nischarin agonist
MYCOPHENOLATE SODIUM,['Ceptava' 'Myfortic'],Small molecule,multiple sclerosis,Inosine-5'-monophosphate dehydrogenase (IMPDH),"IMPDH1, IMPDH2",Enzyme,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
MYCOPHENOLIC ACID,[],Small molecule,immune system disease,Inosine-5'-monophosphate dehydrogenase (IMPDH),"IMPDH1, IMPDH2",Enzyme,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
NABILONE,['Cesamet'],Small molecule,"Nausea, Nausea and vomiting, cancer",Cannabinoid receptor 1,CNR1,Membrane receptor,Cannabinoid CB1 receptor agonist
NABUMETONE,['Nabumetone' 'Relafen' 'Relifex'],Small molecule,"osteoarthritis, rheumatic disease, rheumatoid arthritis",Prostaglandin G/H synthase 2,PTGS2,Enzyme,Cyclooxygenase-2 inhibitor
NADOLOL,['Corgard' 'Nadolol' 'Nadolol component of corzide' 'Solgol'],Small molecule,"angina pectoris, cardiovascular disease, hypertension, myocardial infarction, stroke","Beta-1 adrenergic receptor, Beta-2 adrenergic receptor","ADRB1, ADRB2",Membrane receptor,"Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor antagonist"
NAFARELIN ACETATE,['Synarel'],Protein,endometriosis,Gonadotropin-releasing hormone receptor,GNRHR,Membrane receptor,Gonadotropin-releasing hormone receptor agonist
NALBUPHINE,[],Small molecule,Pain,Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta agonist
NALBUPHINE HYDROCHLORIDE,['Nalbuphine hydrochloride' 'Nubain'],Small molecule,Pain,Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta agonist
NALDEMEDINE,[],Small molecule,Constipation,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor antagonist
NALDEMEDINE TOSYLATE,['Rizmoic' 'Symproic'],Small molecule,"Constipation, constipation disorder",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor antagonist
NALMEFENE,['Selincro'],Small molecule,alcohol dependence,"Delta-type opioid receptor, Kappa-type opioid receptor, Mu-type opioid receptor","OPRD1, OPRK1, OPRM1",Membrane receptor,"Delta opioid receptor antagonist, Kappa opioid receptor partial agonist, Mu opioid receptor antagonist"
NALMEFENE HYDROCHLORIDE DIHYDRATE,['Selincro'],Small molecule,alcohol dependence,"Delta-type opioid receptor, Kappa-type opioid receptor, Mu-type opioid receptor","OPRD1, OPRK1, OPRM1",Membrane receptor,"Delta opioid receptor antagonist, Kappa opioid receptor partial agonist, Mu opioid receptor antagonist"
NALOXEGOL,['Moventig'],Small molecule,Constipation,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor antagonist
NALOXEGOL OXALATE,['Movantik' 'Moventig' 'Naloxegol oxalate component of movantik'],Small molecule,"Constipation, Pain, constipation disorder, opioid dependence",Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor antagonist
NALOXONE,[],Small molecule,Constipation,Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta antagonist
NALOXONE HYDROCHLORIDE,"['Evzio' 'Evzio (autoinjector)' 'Kloxxado' 'Naloxone hydrochloride'
 'Naloxone hydrochloride (autoinjector)'
 'Naloxone hydrochloride component of bunavail'
 'Naloxone hydrochloride component of cassipa'
 'Naloxone hydrochloride component of suboxone'
 'Naloxone hydrochloride component of talwin nx'
 'Naloxone hydrochloride component of targiniq'
 'Naloxone hydrochloride component of zubsolv' 'Narcan' 'Narcan neonatal'
 'Narconil' 'Prenoxad' 'Rextovy' 'Rezenopy' 'Rivive' 'Zimhi']",Small molecule,"Pain, septic shock",Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta antagonist
NALOXONE HYDROCHLORIDE DIHYDRATE,"['Naloxone hydrochloride dihydrate component of bunavail'
 'Naloxone hydrochloride dihydrate component of cassipa' 'Nyxoid']",Small molecule,opioid dependence,Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta antagonist
NALTREXONE,['Celupan' 'Trexal' 'Vivitrol'],Small molecule,"alcohol abuse, alcohol dependence",Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta antagonist
NALTREXONE HYDROCHLORIDE,"['Adepend' 'Depade' 'Nalorex' 'Naltrexone hydrochloride'
 'Naltrexone hydrochloride component of contrave'
 'Naltrexone hydrochloride component of embeda'
 'Naltrexone hydrochloride component of troxyca' 'Opizone' 'Revia']",Small molecule,Pain,Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta antagonist
NAPHAZOLINE,[],Small molecule,"Nasal congestion, eye allergy",Adrenergic receptor alpha,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha agonist
NAPHAZOLINE HYDROCHLORIDE,"['Albalon' 'Antistin-privine' 'Gppe nsl soln' 'Nafazair' 'Naphaz hcl'
 'Naphazoline hydrochloride'
 'Naphazoline hydrochloride component of naphcon-a'
 'Naphazoline hydrochloride component of opcon-a'
 'Naphazoline hydrochloride component of vasocon-a'
 'Naphazoline hydrochloride component of visine'
 'Naphazoline hydrochloride component of visine-a' 'Naphcon forte' 'Opcon'
 'Vasocon']",Small molecule,"Nasal congestion, common cold, seasonal allergic rhinitis, sinusitis",Adrenergic receptor alpha,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha agonist
NAPROXEN,"['Arthrosin 250' 'Arthrosin 250 ec' 'Arthrosin 500' 'Arthrosin 500 ec'
 'Condrotec' 'Ec-naprosyn' 'Feminax ultra' 'Grenoxal' 'Kenosyn' 'Laraflex'
 'Napratec op' 'Naprosyn' 'Naprosyn 375' 'Naprosyn ec' 'Naproxen'
 'Naproxen component of vimovo' 'Nycopren' 'Pranoxen continus' 'Prosaid'
 'Rheuflex 250' 'Rheuflex 500' 'Rimoxyn' 'Stirlescent' 'Timpron'
 'Timpron 250 ec' 'Timpron 500 ec' 'Valrox']",Small molecule,"Arthralgia, Back pain, Dysmenorrhea, Fever, Headache, Myalgia, Pain, ankylosing spondylitis, arthritis, bursitis, common cold, gastric ulcer, gout, juvenile idiopathic arthritis, muscle cramp, osteoarthritis, rheumatic disease, rheumatoid arthritis, spondylitis, tendinitis, toothache, vaginal inflammation",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
NAPROXEN SODIUM,"['Aleve' 'Anaprox' 'Anaprox ds' 'Naprelan' 'Naproxen sodium'
 'Naproxen sodium component of aleve-d'
 'Naproxen sodium component of treximet' 'Synflex']",Small molecule,"Back pain, Dysmenorrhea, Headache, Pain, Tendinopathy, ankylosing spondylitis, bursitis, frozen shoulder, gout, juvenile idiopathic arthritis, migraine disorder, osteoarthritis, rheumatoid arthritis, spondylitis",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
NARATRIPTAN,[],Small molecule,migraine disorder,"5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 1D","HTR1B, HTR1D",Membrane receptor,"Serotonin 1b (5-HT1b) receptor agonist, Serotonin 1d (5-HT1d) receptor agonist"
NARATRIPTAN HYDROCHLORIDE,['Amerge' 'Naramig'],Small molecule,migraine disorder,"5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 1D","HTR1B, HTR1D",Membrane receptor,"Serotonin 1b (5-HT1b) receptor agonist, Serotonin 1d (5-HT1d) receptor agonist"
NATALIZUMAB,['Natalizumab elan pharma' 'Tyruko' 'Tysabri'],Antibody,"Crohn's disease, inflammation, multiple sclerosis, relapsing-remitting multiple sclerosis",Integrin alpha-4/beta-7,ITGA4,Membrane receptor,Integrin alpha-4/beta-7 inhibitor
NATEGLINIDE,['Nateglinide' 'Starlix' 'Starsis' 'Trazec'],Small molecule,"diabetes mellitus, type 2 diabetes mellitus","Sulfonylurea receptor 1, Kir6.2","ABCC8, KCNJ11","Ion channel, Transporter","Sulfonylurea receptor 1, Kir6.2 blocker"
NEBIVOLOL,['Hypoloc' 'Nebilet' 'Nebivolol component of byvalson'],Small molecule,cardiovascular disease,"Beta-1 adrenergic receptor, Beta-2 adrenergic receptor","ADRB1, ADRB2",Membrane receptor,"Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor antagonist"
NEBIVOLOL HYDROCHLORIDE,"['Bystolic' 'Nebivolol hydrochloride'
 'Nebivolol hydrochloride component of byvalson']",Small molecule,"hypertension, stroke","Beta-1 adrenergic receptor, Beta-2 adrenergic receptor","ADRB1, ADRB2",Membrane receptor,"Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor antagonist"
NECITUMUMAB,['Portrazza'],Antibody,"neoplasm, non-small cell lung carcinoma",Epidermal growth factor receptor,EGFR,"Enzyme, Unclassified protein",Epidermal growth factor receptor erbB1 inhibitor
NEDOSIRAN SODIUM,['Rivfloza'],Oligonucleotide,primary hyperoxaluria,L-lactate dehydrogenase A chain mRNA,LDHA,"Enzyme, Unclassified protein",L-lactate dehydrogenase A chain mRNA RNAi inhibitor
NEFAZODONE,[],Small molecule,major depressive disorder,"5-hydroxytryptamine receptor 2A, 5-hydroxytryptamine receptor 2C, Sodium-dependent noradrenaline transporter, Sodium-dependent serotonin transporter","HTR2A, HTR2C, SLC6A2, SLC6A4","Membrane receptor, Transporter","Norepinephrine transporter inhibitor, Serotonin 2a (5-HT2a) receptor antagonist, Serotonin 2c (5-HT2c) receptor antagonist, Serotonin transporter inhibitor"
NEFAZODONE HYDROCHLORIDE,['Dutonin' 'Nefazodone hydrochloride' 'Serzone'],Small molecule,major depressive disorder,"5-hydroxytryptamine receptor 2A, 5-hydroxytryptamine receptor 2C, Sodium-dependent noradrenaline transporter, Sodium-dependent serotonin transporter","HTR2A, HTR2C, SLC6A2, SLC6A4","Membrane receptor, Transporter","Norepinephrine transporter inhibitor, Serotonin 2a (5-HT2a) receptor antagonist, Serotonin 2c (5-HT2c) receptor antagonist, Serotonin transporter inhibitor"
NEOSTIGMINE,[],Small molecule,glaucoma,Acetylcholinesterase,ACHE,Enzyme,Acetylcholinesterase inhibitor
NEOSTIGMINE METHYLSULFATE,"['Bloxiverz' 'Neostigmine methylsulfate'
 'Neostigmine methylsulfate component of prevduo' 'Robinul-neostig']",Small molecule,Myasthenia gravis,Acetylcholinesterase,ACHE,Enzyme,Acetylcholinesterase inhibitor
NEPAFENAC,['Ilevro' 'Nevanac'],Small molecule,"Pain, cataract, eye inflammation, inflammation",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
NERATINIB MALEATE,['Nerlynx'],Small molecule,"breast cancer, breast carcinoma","Epidermal growth factor receptor, Receptor tyrosine-protein kinase erbB-2, Receptor tyrosine-protein kinase erbB-4","EGFR, ERBB2, ERBB4","Enzyme, Unclassified protein","Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor"
NESIRITIDE,['Natrecor'],Protein,cardiovascular disease,Atrial natriuretic peptide receptor 1,NPR1,"Enzyme, Membrane receptor",Atrial natriuretic peptide receptor A agonist
NETARSUDIL DIMESYLATE,['Netarsudil dimesylate component of rocklatan' 'Rhokiinsa' 'Rhopressa'],Small molecule,"ocular hypertension, open-angle glaucoma",Rho-associated protein kinase,"ROCK1, ROCK2",Enzyme,Rho-associated protein kinase inhibitor
NETUPITANT,"['Netupitant component of akynzeo'
 'Netupitant component of akynzeo capsule']",Small molecule,Chemotherapy-induced nausea and vomiting,Substance-P receptor,TACR1,Membrane receptor,Neurokinin 1 receptor antagonist
NICARDIPINE,[],Small molecule,cardiovascular disease,Voltage-gated L-type calcium channel,"CACNA1C, CACNA1D, CACNA1F, CACNA1S","Auxiliary transport protein, Ion channel",Voltage-gated L-type calcium channel blocker
NICARDIPINE HYDROCHLORIDE,['Cardene' 'Cardene sr' 'Nicardipine hydrochloride'],Small molecule,hypertension,Voltage-gated L-type calcium channel,"CACNA1C, CACNA1D, CACNA1F, CACNA1S","Auxiliary transport protein, Ion channel",Voltage-gated L-type calcium channel blocker
NICOTINE,"['Habitrol' 'Nicabate' 'Nicoderm cq' 'Nicopass' 'Nicopatch'
 'Nicorette invisi' 'Nicotine' 'Nicotinell classic' 'Nicotinell support'
 'Nicotinell tts 10' 'Nicotinell tts 20' 'Nicotinell tts 30' 'Nicotrol'
 'Nicotrol inhaler' 'Nicotrol ns' 'Niquitin' 'Niquitin clr'
 'Niquitin minis cherry' 'Niquitin minis mint' 'Niquitin minis orange'
 'Niquitin mint' 'Niquitin pre-quit' 'Niquitin strips mint' 'Prostep'
 'Stoppers' 'Stubit']",Small molecule,nicotine dependence,Neuronal acetylcholine receptor; alpha4/beta2,"CHRNA4, CHRNB2",Ion channel,Neuronal acetylcholine receptor; alpha4/beta2 agonist
